employee_id,name,department_id,role,work_mode,hours_per_week,productivity_score,years_of_experience
E0031,Sherri Baker,5,Executive,Hybrid,36.6,4.43,12.6
E0032,Cassandra Gaines,2,Manager,Remote,55.8,4.43,4.8
E0033,Elizabeth Fowler,6,Intern,Remote,46.2,8.34,17.6
E0034,Brittany Farmer,5,Intern,Remote,53.5,8.84,3.8
E0035,Paula Moreno,1,Intern,Onsite,42.7,6.8,14.6
E0036,Fred Smith,6,Manager,Remote,42.1,6.04,17.2
E0037,Sherry Decker,2,Executive,Remote,46.1,4.84,3.7
E0038,Anthony Humphrey,4,Executive,Remote,43.3,9.17,11.0
E0039,Angelica Tucker,1,Lead,Remote,59.1,9.56,17.0
E0040,Philip Cannon,2,Intern,Onsite,44.4,9.19,18.0
E0041,John Pierce,2,Intern,Remote,59.6,5.59,15.7
E0042,Shane Henderson,4,Analyst,Onsite,50.9,8.38,15.7
E0043,Joshua Blair,6,Intern,Remote,35.7,5.31,1.2
E0044,Eric Carney,6,Lead,Remote,52.4,4.34,11.7
E0045,Jessica Holmes,5,Lead,Remote,31.7,7.05,17.0
E0046,Danny Morgan,1,Lead,Remote,50.3,5.41,2.4
E0047,Crystal Robinson,5,Executive,Hybrid,47.8,7.72,8.4
E0048,Mark Perez,5,Lead,Hybrid,39.5,5.56,13.4
E0049,Shannon Jones,3,Executive,Onsite,41.9,8.03,6.0
E0050,Michael Lewis,3,Manager,Remote,43.7,9.99,19.9
E0051,Timothy Duncan,1,Lead,Remote,45.2,4.79,7.0
E0052,Richard Aguirre,1,Executive,Onsite,38.5,6.63,10.9
E0053,Brent Jordan,3,Lead,Hybrid,45.9,8.01,11.1
E0054,John Daniel,6,Manager,Remote,37.9,9.34,14.8
E0055,Victoria Garcia,2,Analyst,Onsite,48.1,8.31,4.1
E0056,Gerald Hensley,6,Analyst,Hybrid,44.7,9.43,16.9
E0057,Connor West,1,Intern,Onsite,31.3,6.0,2.6
E0058,Donald Wright,3,Executive,Hybrid,43.3,8.23,11.2
E0059,Jessica Callahan,1,Manager,Hybrid,57.1,7.27,16.7
E0060,Amber Kidd,5,Lead,Remote,42.9,4.25,7.3
E0061,Tracy House,1,Analyst,Remote,50.5,8.0,7.1
E0062,Carol Tucker,5,Intern,Hybrid,52.5,9.55,4.7
E0063,James Brown,2,Executive,Onsite,30.7,8.42,6.6
E0064,William Baker,4,Executive,Onsite,34.8,8.21,7.7
E0065,Jordan Henderson,1,Intern,Remote,36.0,9.51,7.0
E0066,Whitney Peters,2,Executive,Remote,49.8,6.39,5.6
E0067,Brittney Phillips,1,Analyst,Onsite,49.2,6.4,19.6
E0068,Lauren Daniels,5,Analyst,Remote,33.5,9.82,3.6
E0069,Amy Silva,3,Manager,Remote,47.9,6.07,15.7
E0070,Sarah Moore,4,Lead,Hybrid,33.5,9.4,3.8
E0071,Angela Lopez,1,Intern,Remote,45.6,8.84,13.7
E0072,Megan Young,6,Executive,Onsite,42.9,9.69,18.4
E0073,Steve Sanchez,5,Analyst,Hybrid,55.4,8.32,6.0
E0074,Lisa Barnes,3,Intern,Onsite,42.1,5.77,2.5
E0075,Kelly Donovan,4,Intern,Hybrid,52.4,5.04,11.4
E0076,Mike Allen,4,Lead,Remote,39.1,5.26,15.7
E0077,Michael Evans,5,Analyst,Onsite,43.3,8.05,10.2
E0078,Paul Jones,6,Executive,Hybrid,32.5,7.09,12.7
E0079,Zachary Ferrell,3,Manager,Remote,50.2,5.35,4.0
E0080,Daniel Baker,1,Manager,Remote,59.5,7.67,15.4
E0081,Shirley Suarez,4,Intern,Hybrid,47.3,8.31,7.7
E0082,Christopher Bass,4,Executive,Remote,49.7,4.03,15.0
E0083,Lisa Archer,1,Intern,Remote,35.3,9.75,10.4
E0084,Aimee Montoya,1,Lead,Remote,57.5,4.73,2.7
E0085,Matthew Mcmillan,4,Lead,Hybrid,47.9,9.7,17.8
E0086,Brian Rodriguez,5,Lead,Onsite,54.9,7.29,17.9
E0087,Denise Jacobs,6,Intern,Onsite,37.8,5.48,12.8
E0088,Christina Walters,5,Intern,Hybrid,37.2,6.64,14.3
E0089,John Whitehead,2,Analyst,Onsite,39.6,7.24,2.8
E0090,Anna Henderson,2,Intern,Hybrid,34.6,5.28,8.3
E0091,Aaron Wise,3,Lead,Onsite,42.5,5.24,8.4
E0092,Deborah Figueroa,5,Manager,Hybrid,41.4,4.04,7.0
E0093,Jessica Smith,4,Intern,Hybrid,52.4,7.28,12.1
E0094,Stephen Mckee,2,Intern,Remote,38.2,6.91,7.8
E0095,Sandra Aguilar,6,Intern,Hybrid,35.0,6.8,2.6
E0096,Cameron Parker,5,Lead,Remote,57.2,7.55,13.3
E0097,Rebecca Valencia,1,Intern,Remote,56.0,5.09,5.2
E0098,Christine Wright,3,Executive,Onsite,39.8,8.57,7.6
E0099,Richard Henson,4,Analyst,Remote,44.1,8.49,1.0
E0100,Marc Moore,3,Executive,Hybrid,32.1,9.74,0.8
E0101,Sharon Cherry,1,Executive,Remote,55.2,7.73,4.8
E0102,Sierra Johnson,4,Manager,Hybrid,58.4,6.79,5.1
E0103,Evelyn Galvan,3,Executive,Hybrid,48.2,8.49,2.3
E0104,Sharon Cochran,2,Analyst,Remote,47.4,9.57,11.5
E0105,Richard Rodriguez,4,Intern,Hybrid,35.9,7.55,16.6
E0106,Shannon Walker,2,Manager,Hybrid,53.2,9.1,12.0
E0107,Julia Torres,1,Lead,Remote,40.4,6.57,7.4
E0108,Crystal Johnson,5,Analyst,Remote,55.5,8.93,2.1
E0109,Garrett Lin,3,Intern,Hybrid,34.6,5.06,10.4
E0110,Diana May,6,Analyst,Hybrid,54.2,7.23,9.7
E0111,William Herrera,4,Lead,Onsite,39.7,5.47,18.7
E0112,Ashley Waller,3,Intern,Remote,52.5,7.42,13.4
E0113,Victor Baker,3,Manager,Onsite,55.5,5.09,4.2
E0114,Jeffrey Chandler,3,Analyst,Onsite,56.4,8.21,5.5
E0115,Larry Dixon,1,Lead,Remote,32.6,8.32,9.8
E0116,Kenneth Scott,2,Intern,Hybrid,51.4,6.69,0.3
E0117,April Frost,3,Executive,Onsite,50.8,5.84,11.6
E0118,Michelle Harmon,4,Lead,Hybrid,40.3,9.98,11.0
E0119,Helen Jones,3,Intern,Onsite,39.2,5.38,14.4
E0120,Erin Edwards,3,Manager,Hybrid,46.1,8.57,3.7
E0121,Michelle Evans,2,Intern,Onsite,51.7,9.86,10.5
E0122,Jason Powell,3,Manager,Remote,38.9,6.17,6.0
E0123,Cameron Fisher,6,Lead,Remote,38.2,9.85,11.1
E0124,Megan Orr,6,Executive,Hybrid,56.1,6.95,17.5
E0125,Elizabeth Kelley,5,Analyst,Onsite,44.4,6.04,19.3
E0126,Dustin Jordan,3,Intern,Remote,54.7,6.4,1.5
E0127,Mary Marshall,6,Manager,Remote,34.5,7.38,6.1
E0128,Daniel Kennedy,2,Manager,Hybrid,52.9,7.64,15.8
E0129,Rebecca Jackson,2,Lead,Onsite,43.5,6.66,17.2
E0130,Jose Schultz,4,Analyst,Hybrid,48.6,7.66,14.8
E0131,Robert Potter,2,Executive,Onsite,49.8,4.94,3.5
E0132,Courtney Gonzalez,1,Executive,Remote,42.3,8.14,9.4
E0133,David Alvarez,1,Executive,Onsite,51.2,8.22,9.1
E0134,Angel Perry,6,Executive,Onsite,53.6,7.75,13.2
E0135,Cheyenne Horton,2,Intern,Remote,46.3,7.89,18.2
E0136,David Douglas Jr.,2,Manager,Remote,35.0,5.85,15.0
E0137,Patricia Rodriguez,5,Analyst,Onsite,33.7,8.13,14.0
E0138,Christopher Rubio,3,Lead,Hybrid,44.8,4.48,0.8
E0139,Amber Wright,4,Analyst,Hybrid,37.5,4.55,19.2
E0140,Joyce Solis,5,Lead,Remote,60.0,8.03,5.4
E0141,Victoria Larson,1,Executive,Onsite,45.6,6.65,5.6
E0142,Stephanie Salazar,5,Intern,Hybrid,54.4,9.81,9.4
E0143,Kathy Rivas,4,Analyst,Onsite,50.1,9.15,6.6
E0144,Stephanie Manning,6,Intern,Onsite,49.9,6.4,15.2
E0145,David Wright,1,Intern,Remote,39.4,5.94,19.4
E0146,Pamela Boyd,4,Lead,Remote,49.7,7.26,8.3
E0147,Denise Jones,2,Lead,Onsite,48.7,6.99,8.8
E0148,Devon Flores,1,Executive,Onsite,46.5,9.57,8.8
E0149,Brenda Hall,6,Intern,Remote,30.9,7.78,16.0
E0150,Michelle Brown,6,Executive,Onsite,46.5,7.31,1.9
E0151,Joshua Perry,1,Intern,Remote,49.4,4.92,18.7
E0152,Jason Stein,3,Lead,Hybrid,38.2,9.01,19.6
E0153,Melissa Gates,2,Intern,Hybrid,34.3,5.14,12.0
E0154,Jamie Smith,6,Executive,Remote,38.3,8.74,8.3
E0155,Paul Castaneda,5,Analyst,Remote,38.5,5.79,11.7
E0156,Jennifer Adkins,6,Intern,Remote,43.4,6.91,6.6
E0157,Lindsey Walker,5,Intern,Onsite,58.0,9.22,19.6
E0158,Jeffrey Johnson,2,Lead,Onsite,37.0,8.65,0.9
E0159,Michael Powell,6,Intern,Hybrid,57.4,6.29,19.8
E0160,John Anderson,6,Executive,Onsite,58.9,4.76,19.3
E0161,Alyssa Long,3,Manager,Onsite,33.0,9.46,0.3
E0162,Alyssa Day,2,Intern,Hybrid,59.1,4.45,15.6
E0163,Joel Williams,3,Analyst,Hybrid,50.8,7.9,17.0
E0164,Daniel Murphy,6,Lead,Onsite,58.6,7.76,17.7
E0165,Jamie Walton,4,Lead,Remote,48.5,5.41,13.7
E0166,Darlene Miller,3,Executive,Hybrid,32.7,9.87,15.2
E0167,Joshua Cooke,6,Manager,Onsite,35.0,5.8,0.6
E0168,Matthew Harrington,3,Manager,Onsite,40.8,6.58,4.9
E0169,Nicole Herring,4,Lead,Hybrid,53.8,5.02,1.6
E0170,Alex Hernandez,4,Lead,Hybrid,37.2,9.48,2.9
E0171,Michael Elliott,4,Analyst,Onsite,37.7,4.06,16.1
E0172,Michael Wang,3,Lead,Remote,32.2,9.67,19.8
E0173,Lawrence Adkins,3,Intern,Hybrid,37.5,9.07,4.0
E0174,Robert Oconnell,4,Intern,Remote,37.1,7.43,11.5
E0175,Alexander Collins,6,Analyst,Remote,59.3,7.95,5.5
E0176,Tina Sanders,5,Manager,Hybrid,52.4,9.0,18.1
E0177,Angela Vaughn,2,Lead,Onsite,36.6,5.14,5.0
E0178,Ashley Barton,6,Executive,Hybrid,32.9,7.76,0.8
E0179,Lindsay Martinez,4,Manager,Hybrid,40.9,4.79,18.2
E0180,Dr. Hannah Patterson,3,Intern,Remote,36.0,8.72,17.5
E0181,Jonathan Peterson,3,Lead,Hybrid,57.4,8.98,5.1
E0182,Samantha Garcia,4,Analyst,Hybrid,56.1,8.83,9.4
E0183,Madison Poole,1,Executive,Remote,55.8,8.35,19.6
E0184,Jessica Gross,5,Analyst,Remote,53.7,4.08,10.7
E0185,Debra Morton,4,Analyst,Hybrid,52.5,5.57,7.6
E0186,Karen Graham,6,Analyst,Remote,50.2,6.83,12.4
E0187,Debra Christian,5,Analyst,Hybrid,36.6,4.38,16.5
E0188,Angelica Keith,6,Analyst,Hybrid,42.2,4.84,18.9
E0189,John Bishop,3,Intern,Remote,32.9,9.32,2.7
E0190,Allen Rosales,4,Analyst,Hybrid,58.5,8.18,10.8
E0191,Daniel Salinas,5,Executive,Onsite,49.6,9.0,12.3
E0192,Spencer Haynes,3,Manager,Hybrid,41.1,6.66,19.0
E0193,Adam Vaughan,3,Manager,Hybrid,41.0,9.41,12.9
E0194,Nathan Freeman,1,Intern,Onsite,35.7,4.73,17.0
E0195,Melissa Brewer,4,Manager,Hybrid,36.4,7.84,19.4
E0196,Ricky Davis II,1,Analyst,Remote,59.7,8.72,4.1
E0197,Elizabeth Perkins,5,Executive,Hybrid,36.5,9.22,6.6
E0198,Joseph Coleman,2,Lead,Remote,38.3,9.9,19.8
E0199,Erin Warner,5,Analyst,Remote,33.3,9.2,2.6
E0200,David Martinez,3,Executive,Hybrid,39.7,5.05,1.0
E0201,Bryan Herrera,6,Intern,Hybrid,33.4,4.38,9.0
E0202,Cathy Robinson,3,Lead,Hybrid,33.3,7.02,18.9
E0203,Dr. William Warren,1,Lead,Onsite,43.7,9.78,1.2
E0204,Brian Lee,4,Intern,Onsite,50.6,6.94,18.2
E0205,Christopher Smith,1,Manager,Onsite,48.2,4.39,5.5
E0206,Denise Mccann,6,Lead,Hybrid,51.4,6.29,11.9
E0207,Melissa Martinez,3,Intern,Hybrid,48.2,4.6,14.0
E0208,Katherine Salas,6,Lead,Hybrid,56.0,6.58,17.8
E0209,Julie Alexander,4,Analyst,Onsite,42.0,8.38,6.3
E0210,Anthony Everett,3,Analyst,Onsite,58.6,8.12,9.5
E0211,Rodney Morales,1,Manager,Remote,43.0,8.47,7.5
E0212,Mark Brown,2,Lead,Remote,47.6,7.37,6.6
E0213,Justin Torres,1,Intern,Onsite,56.2,9.65,8.5
E0214,Bailey Duran DDS,6,Manager,Onsite,48.0,6.11,11.6
E0215,Courtney Mills,2,Executive,Hybrid,44.5,9.08,7.0
E0216,Jeremy Dalton,5,Analyst,Remote,52.9,7.44,16.1
E0217,Elizabeth Oliver DDS,5,Lead,Hybrid,50.2,7.34,12.2
E0218,Theresa Clark,6,Analyst,Remote,35.4,8.22,6.2
E0219,Matthew Moore,3,Analyst,Remote,35.4,4.86,13.1
E0220,Benjamin Smith,1,Executive,Hybrid,49.0,4.18,14.9
E0221,Kirk Carter,2,Intern,Onsite,43.6,4.94,6.2
E0222,Michael Warner,3,Lead,Hybrid,32.5,4.32,3.1
E0223,Michael Bradshaw,5,Manager,Hybrid,32.4,6.66,8.5
E0224,Lori Guerrero,5,Intern,Onsite,38.2,8.53,2.3
E0225,Jessica Stephens,4,Manager,Onsite,50.3,7.56,10.5
E0226,Susan Serrano,3,Manager,Remote,41.9,7.6,0.2
E0227,Christopher Parker,3,Executive,Remote,52.9,5.74,2.4
E0228,Laura Roberts,4,Intern,Remote,33.9,7.2,4.6
E0229,Michael Lyons,5,Analyst,Remote,41.9,8.45,8.7
E0230,Kathryn Snyder,4,Manager,Onsite,47.3,7.44,14.2
E0231,Andrew Reynolds,4,Analyst,Remote,42.2,9.8,3.4
E0232,David Davis,5,Intern,Hybrid,57.6,4.53,16.9
E0233,Sara Johnston,2,Intern,Hybrid,42.0,4.47,17.4
E0234,Yvonne Chambers,6,Analyst,Remote,40.0,5.01,10.2
E0235,Andrew Avila,1,Lead,Hybrid,35.8,8.66,7.0
E0236,Matthew Moon,6,Executive,Remote,33.1,5.54,3.5
E0237,Kevin Walters,2,Manager,Remote,58.5,7.77,9.3
E0238,Brandon Bailey MD,5,Lead,Onsite,50.4,9.29,12.9
E0239,Shannon Rivera,5,Analyst,Hybrid,39.5,6.64,9.4
E0240,Donna Landry,6,Analyst,Onsite,47.7,6.11,1.5
E0241,Krista Gibson,4,Intern,Remote,31.7,8.99,1.5
E0242,Frank Cordova,1,Lead,Hybrid,45.2,6.78,11.1
E0243,Jose Travis,6,Manager,Onsite,57.3,7.43,3.8
E0244,Kimberly Gutierrez,5,Intern,Hybrid,34.5,4.37,2.1
E0245,Isaiah Avila,3,Manager,Hybrid,49.4,4.23,14.2
E0246,Olivia Harris,4,Lead,Hybrid,48.3,6.18,18.4
E0247,Tanya Kim,4,Intern,Onsite,50.4,4.31,12.6
E0248,Barbara Dudley,3,Manager,Onsite,32.8,8.07,5.7
E0249,Cynthia Moore,6,Lead,Remote,40.0,7.5,2.8
E0250,Kristen Davis,3,Analyst,Hybrid,51.0,6.35,11.9
E0251,Susan Murray MD,1,Analyst,Hybrid,41.3,8.75,16.3
E0252,Kathleen Moran,6,Lead,Remote,49.4,6.54,7.2
E0253,Denise Davenport,3,Analyst,Remote,58.5,6.05,15.3
E0254,Mrs. Kristen Reyes,2,Executive,Remote,34.6,5.77,15.8
E0255,Katie Suarez,5,Lead,Hybrid,56.5,4.23,6.7
E0256,Desiree Tyler,5,Executive,Hybrid,41.3,4.97,16.6
E0257,Timothy Romero,5,Executive,Hybrid,43.1,6.47,13.5
E0258,Diane Evans,2,Intern,Hybrid,38.5,8.49,9.0
E0259,Yvonne Burns,5,Executive,Onsite,59.0,8.71,18.1
E0260,Joshua Reed,2,Analyst,Hybrid,58.4,9.91,9.2
E0261,Kimberly Gibson,3,Intern,Hybrid,45.8,9.8,16.3
E0262,Colin Terry,5,Executive,Onsite,31.6,6.88,7.4
E0263,Cynthia Rowe,1,Lead,Remote,38.6,8.58,5.5
E0264,Patrick Thornton,5,Executive,Onsite,32.8,9.46,16.3
E0265,Jasmin Alvarado,3,Manager,Onsite,31.6,7.01,4.7
E0266,Veronica Simpson,1,Analyst,Remote,30.8,9.58,16.8
E0267,Jonathan Lawrence,6,Analyst,Remote,34.1,5.72,16.6
E0268,Shelly Alexander,6,Executive,Hybrid,44.1,7.69,18.1
E0269,Joyce Bowen,1,Analyst,Remote,55.0,7.29,14.5
E0270,Matthew Moore,5,Intern,Remote,53.3,5.43,2.4
E0271,Wayne Morgan,2,Intern,Hybrid,53.8,6.74,2.2
E0272,Marie Christian,4,Lead,Hybrid,30.5,7.09,4.8
E0273,Shannon James,2,Analyst,Onsite,30.0,6.12,11.4
E0274,Nathan Malone,2,Manager,Hybrid,59.2,4.41,10.5
E0275,Amanda Jones,5,Lead,Hybrid,30.6,9.24,0.9
E0276,Tammie Bright,4,Analyst,Onsite,52.4,6.14,1.4
E0277,Jessica Garcia,2,Manager,Hybrid,52.1,6.0,0.9
E0278,Shelia Wallace,5,Analyst,Hybrid,35.3,8.67,9.3
E0279,Stephanie Williams,6,Intern,Hybrid,35.5,4.81,14.3
E0280,Elaine Brooks,4,Manager,Onsite,36.0,8.75,17.7
E0281,Joseph Knight,3,Analyst,Hybrid,41.9,8.89,9.5
E0282,Carolyn Miller,1,Executive,Onsite,40.7,8.69,17.3
E0283,Lisa Allen,3,Analyst,Remote,54.0,6.62,8.0
E0284,Briana Murray,4,Intern,Onsite,59.2,6.98,10.0
E0285,David Smith,5,Analyst,Remote,51.8,4.47,12.0
E0286,Stephanie Byrd,2,Lead,Onsite,39.6,4.48,13.2
E0287,Jeremy Reed,3,Intern,Hybrid,51.5,5.0,8.9
E0288,Margaret Coleman,4,Manager,Hybrid,56.1,6.12,20.0
E0289,Ryan Gonzalez,3,Manager,Remote,50.1,6.44,10.3
E0290,John Young,6,Executive,Remote,34.3,7.65,15.6
E0291,Laura Haney,1,Executive,Remote,37.1,7.87,7.2
E0292,William Barrett,5,Manager,Hybrid,34.6,6.7,7.4
E0293,Keith Jennings,4,Manager,Hybrid,34.1,6.2,6.3
E0294,Amber Obrien,3,Executive,Remote,30.8,5.12,10.4
E0295,Tanner Mitchell DDS,5,Manager,Onsite,53.2,8.22,4.3
E0296,Heather Fields,5,Analyst,Hybrid,57.5,6.95,2.5
E0297,Megan Le,1,Intern,Remote,57.0,6.67,1.8
E0298,Sara Fuller,6,Analyst,Hybrid,40.4,4.39,10.8
E0299,Maria Parker,3,Executive,Hybrid,51.3,8.2,3.5
E0300,Kevin Oconnor,3,Lead,Remote,33.6,5.21,2.8
E0301,Edward Burgess,4,Manager,Onsite,46.6,6.21,16.1
E0302,Carlos Ryan,5,Executive,Hybrid,56.5,4.39,8.0
E0303,Kiara Mcintyre,6,Intern,Hybrid,42.3,6.46,11.5
E0304,Dawn Summers,2,Analyst,Hybrid,32.2,6.79,10.3
E0305,Dr. Paul Morgan,2,Lead,Hybrid,47.6,8.61,2.6
E0306,Victor Taylor,5,Manager,Remote,45.5,5.82,3.2
E0307,Shannon Ramsey,6,Executive,Onsite,58.4,7.11,5.7
E0308,Tracy Ballard,1,Analyst,Remote,49.1,7.31,2.5
E0309,Richard Smith,3,Lead,Hybrid,32.8,7.85,11.8
E0310,Jordan Chambers,5,Executive,Remote,49.8,8.32,12.1
E0311,Lauren Carson,5,Manager,Remote,32.4,9.69,15.4
E0312,Ashley Hall,3,Executive,Hybrid,42.5,7.83,10.0
E0313,Stephen Hoffman,6,Lead,Onsite,49.3,5.81,4.9
E0314,Connie Brown,6,Intern,Onsite,43.6,8.13,3.2
E0315,Susan Turner,4,Intern,Onsite,36.1,7.64,6.3
E0316,Charles Shah,6,Analyst,Hybrid,59.6,6.07,8.0
E0317,Johnathan Davis,3,Lead,Hybrid,33.2,5.45,2.5
E0318,Brandy Chavez,4,Executive,Remote,32.9,5.74,7.7
E0319,Natalie Bautista,5,Intern,Remote,58.9,9.41,16.3
E0320,Patrick Moore,5,Analyst,Remote,52.9,6.99,10.3
E0321,Brett Burns,4,Analyst,Onsite,30.7,9.67,10.1
E0322,Trevor Johnson,2,Executive,Hybrid,40.6,4.3,9.9
E0323,Jeremy Sampson,6,Intern,Onsite,46.1,9.08,8.6
E0324,Ariana Jennings,3,Analyst,Onsite,41.0,6.4,11.4
E0325,Vanessa Howard,2,Analyst,Hybrid,38.7,6.32,9.0
E0326,Colton Martinez,5,Analyst,Hybrid,50.4,4.71,19.5
E0327,Jordan Bates,4,Analyst,Onsite,46.7,6.19,2.9
E0328,Linda Smith,5,Lead,Onsite,45.0,4.27,2.7
E0329,Dana Martinez,3,Intern,Hybrid,43.7,7.64,10.3
E0330,Andrea Hubbard,3,Lead,Onsite,34.9,9.94,14.8
E0331,Daniel Kane,3,Lead,Onsite,45.2,7.06,9.8
E0332,Charles Lester,5,Analyst,Onsite,54.5,6.21,13.5
E0333,Scott Thomas,4,Lead,Onsite,53.9,8.35,13.8
E0334,David Thompson,1,Lead,Onsite,38.0,7.93,19.4
E0335,Allison Smith,5,Lead,Remote,51.6,7.5,3.4
E0336,Cynthia Morris,6,Lead,Onsite,34.4,8.08,0.6
E0337,Anthony Harmon,6,Manager,Remote,30.6,5.88,3.0
E0338,Nichole Alvarez,6,Executive,Onsite,45.1,7.67,9.4
E0339,Kayla Rodriguez,6,Manager,Hybrid,34.1,5.24,6.5
E0340,Theresa Williams,6,Intern,Hybrid,41.3,9.74,9.2
E0341,Sharon Boyd,5,Analyst,Hybrid,40.6,8.63,14.4
E0342,Victor Brown,6,Analyst,Hybrid,44.5,9.74,5.6
E0343,James Parks,3,Executive,Onsite,53.1,8.23,13.8
E0344,Theodore Jones Jr.,4,Analyst,Onsite,40.5,9.6,15.9
E0345,Ana Hill,3,Analyst,Remote,47.2,7.26,17.9
E0346,Kimberly Nguyen,4,Analyst,Remote,38.7,5.73,14.3
E0347,Kerry Chavez DDS,3,Intern,Hybrid,37.7,6.87,4.0
E0348,Michael Farrell,5,Analyst,Hybrid,50.9,4.82,12.3
E0349,Patricia Le,5,Executive,Remote,31.5,9.43,4.5
E0350,Jesse Perez,2,Manager,Remote,42.4,8.3,2.0
E0351,Jesse Perry,2,Manager,Hybrid,59.3,4.95,13.1
E0352,Jeffery Ortega,4,Intern,Hybrid,36.0,9.78,6.4
E0353,Christian Leblanc,6,Manager,Remote,49.6,5.39,14.8
E0354,Ronald Davis,1,Executive,Onsite,56.5,5.05,18.4
E0355,Parker Cain,4,Intern,Remote,58.1,9.77,18.5
E0356,Laurie Hoffman,1,Manager,Onsite,47.0,4.64,19.7
E0357,Bryan Gomez,3,Intern,Hybrid,46.3,6.96,18.8
E0358,Nicole Parrish,5,Intern,Onsite,35.8,4.68,3.2
E0359,Tracy Burke,4,Analyst,Hybrid,35.6,8.42,15.8
E0360,Kenneth Lewis,5,Executive,Remote,48.3,7.83,8.1
E0361,Courtney Rodriguez,4,Lead,Onsite,32.6,8.02,3.7
E0362,Holly Farmer,2,Intern,Onsite,58.1,4.04,7.7
E0363,Renee Bruce,4,Analyst,Onsite,39.1,8.34,0.2
E0364,Sabrina Austin,6,Analyst,Hybrid,37.1,8.01,9.3
E0365,Allison Hickman,2,Intern,Hybrid,45.1,9.37,14.1
E0366,Debra White,3,Manager,Hybrid,57.5,5.77,12.3
E0367,Ellen Morgan,2,Executive,Onsite,34.6,8.49,12.1
E0368,Sergio Knight,4,Lead,Onsite,52.7,8.81,16.5
E0369,Charles Schultz,2,Lead,Remote,45.8,7.17,7.2
E0370,Paul Lewis,5,Manager,Remote,54.9,9.42,4.0
E0371,Glen Wood,5,Executive,Remote,39.8,7.12,2.3
E0372,Paula Bradley,2,Lead,Onsite,32.7,7.06,16.2
E0373,Anthony Moore,4,Executive,Hybrid,42.5,7.38,11.2
E0374,Megan Nelson,6,Analyst,Hybrid,30.7,5.53,0.1
E0375,Karla Ramos,2,Lead,Remote,31.4,6.07,1.3
E0376,Paul Wilson,1,Manager,Onsite,31.0,6.45,15.4
E0377,Douglas Gregory,6,Intern,Onsite,59.8,6.29,17.4
E0378,Mr. Andrew Foster,4,Intern,Remote,50.5,7.97,10.8
E0379,Aimee Turner,6,Analyst,Remote,35.4,7.22,10.6
E0380,Chad Scott,6,Executive,Remote,52.7,9.87,9.3
E0381,Adam Burgess,6,Lead,Onsite,46.0,8.94,5.0
E0382,James Padilla,3,Executive,Onsite,35.7,9.25,15.3
E0383,Sandra Drake,1,Intern,Hybrid,53.0,9.3,0.3
E0384,Scott Williams,2,Manager,Remote,47.8,6.68,13.4
E0385,Thomas Atkins,1,Executive,Hybrid,31.3,6.63,10.8
E0386,Laura Mckinney,1,Executive,Hybrid,59.8,5.4,18.3
E0387,Brian Smith,5,Analyst,Hybrid,47.9,8.04,6.4
E0388,Robert Montgomery,3,Executive,Hybrid,45.6,6.48,5.5
E0389,Tamara Davis,5,Lead,Hybrid,57.3,7.76,8.5
E0390,Dana Chapman,4,Manager,Onsite,58.2,8.03,15.7
